Localite;identifiant_arbre;Methode;moment;saison;ID;ID_arbre;identifiant_tree;datasite;sitedate;Idsite;site;espece_arbre;individu_date;date;crabro.24;bethyl.12;chryso.19;halict.11;cicade.9;bracon.18;mirida.10;apheli.6;apidae.9;bombyl.10;curcul.7;cecido.5;staphy.4;aradid.2;curcul.6;spheci.4;pterom.11;ichneu.4;eupelm.8;aradid.1;cerato.9;bracon.17;halict.20;crabro.23;crabro.24;sarcop.5;membra.1;fulgor.2;scarab.6;spheci.3;acrid.2;meloid.8;tingid.2;phlaeo.13;chloro.12;formic.22;perila.3;pentat.1;chryso.18;tephri.5;ceramb.1;vespid.3;scolii.4;psyllo.3;mirida.9;lygaei.2;chryso.14;euloph.19;aphido.3;chryso.17;chryso.16;bracon.16;muscid.9;crabro.22;leiodi.1;bupres.3;chryso.15;kinr.2;stepha.1;aulaci.1;crabro.19;dipter.19;bracon.15;culici.2;crabro.21;arachn.29;arachn.28;Formic.21;Crabro.20;pompil.5;bombyl.9;chamae.1;euloph.18;Formic.20;coccin.7;cicade.8;chloro.11;bracon.14;delpha.3;mirida.8;mirida.7;drosop.5;pterom.9;tachin.3;tetrac.8;arachn.27;encyrt.16;ichneu.3;rhaphi.1;asilid.4;cicade.7;crabro.18;pterom.8;chryso.13;ephydr.1;syrphi.2;insect.5;psocop.4;halict.19;anthoc.1;arachn.26;arachn.25;arachn.24;kinr.1;liopte.1;syrphi.1;bethyl.11;encyrt.15;encyrt.14;phlaeo.12;phlaeo.11;aphido.2;psycho.1;chryso.6;lepido.7;eupelm.14;muscid.8;loncha.2;muscid.7;arachn.26;ptinid.1;acrid.1;staphy.3;andren.1;Dryini.1;dipter.18;cerato.8;dolich.3;bethyl.10;bombyl.7;coccin.6;chiron.3;cecido.8;cecido.7;arachn.23;aleyro.3;bombyl.6;betida.1;pterom.7;chrysol.2;cerylo.1;aphodi.1;chloro.9;ceraph.4;cecido.6;diapar.1;lauxan.1;thynni.5;rhinop.1;muscid.4;achili.1;rhinii.4;bombyl.5;chaobo.2;euloph.16;eutric.1;cicade.6;chiron.2;apsilo.1;pompil.4;phlaeo.10;lepido.6;dipter.17;arachn.22;chiron.1;phorid.5;psocop.3;tachin.2;culici.1;lepido.5;halict.18;ceraph.3;dolich.2;bethyl.7;arachn.20;scolii.3;encyrt.13;dermes.4;euloph.17;bracon.13;ceraph.2;torymi.1;thynni.4;chrysol.1;hymeno.12;euloph.15;pterom.6;tricho.2;encyrt.11;euloph.14;eupelm.12;tephri.4;signip.2;signip.1;apheli.4;formic.19;Psyllo.2;eupelm.13;cecido.4;coniop.2;aphel.5;tetrac.7;arachn.21;bombyl.4;euloph.13;platyg.4;bethyl.9;bethyl.8;milich.10;anthom.2;crabro.16;crabro.15;pompil.3;pompil.2;callip.2;cleonym.1;perila.4;crabro.17;Beryti.1;encyrt.7;Apheli.3;Apheli.2;myceto.1;encyrt.8;cerato.7;euloph.12;euloph.11;euloph.10;pterom.4(ormy?);euloph.9;euloph.8;arachn.17;arachn.16;cerato.6;tephri.1;euryto.3;encyrt.9;nitidu.1;encyrt.10;platyg.3;mythic.8;mythic.7;formic.18;Carnid.1;chalci.7;mymari.1;tricho.1;phlaeo.8;phlaeo.9;eupelm.11;chaobo.1;pterom.5;bracon.12;encyrt.6;encyrt.5;arachn.18;arachn.19;encyrt.3;encyrt.4;ormyri.2;euloph.7;arachn.15;crypto.1;euryto.2;oestri.1;coniop.1;mutill.3;crabro.14;crabro.13;dermes.3;milich.9;tenebr.1;milich.8;milich.7;neurop.2;ephydr.3;mirida.6;cicade.5;crabro.12;chryso.12;chloro.8;eupelm.10;muscid.6;muscid.5;odinii.1;hymeno.8;platyg.2;gaster.1;delpha.2;cicade.4;chloro.7;chryso.11;dipter.16;mordel.1;scarab.5;delpha.1;encyrt.2;loncha.1;apidae.8;curcul.5;anthom.1;eupelm.9;eupelm.8;aphido.1;lepido.4;cicade.3;eupelm.7;chloro.6;rhinii.3;rhinii.2;Eupelm.6;platyg.1;euloph.6;chalci.6;crabro.11;crabro.10;bethyl.5;chloro.5;crabro.9;callip.3;drosop.4;drosop.3;crabro.8;muscid.3;Encyrt.1;Cecido.3;tetrac.6;curcul.4;cicade.2;bracon.11;apheli.1;sternoryncha;Aleyro.2;Mythic.5;Chalci.5;dipter.21;Coccin.5;psocop.2;Formic.17;Chryso.8;Dipter.15;Ormyri.1;Milich.5;Cecido.2;Arachn.14;Phlaeo.7;Meloid.7;Meloid.6;Meloid.5;Chryso.7;Meloid.4;arachn.12;Tetrac.5;Platyg.5;Eupelm.5;mutill.2;Heterog.1;Insect.4(puceron);Bracon.10;Asilid.3;Insect.3;Carabi.4;Hemipt.2;Arachn.13;Dolich.1;Hemipt.1;Cicado.1;Halict.17;Asilid.2;Phlaeo.6; Coleop.2;Perila.2;Eupelm.4;Arachn.12;Apidae.5;Neurop.1;Crabro.6;Thynnidae;dipter.20;Mirida.5;Bracon.9;Sarcop.4;Euloph.5;Megasp.2;chalcidoidea;Arachn.11;Staphy.2;Bombyl.3;Bracon.8;Phlaeo.5;Curcul.3;Myrmel.1;Hymeno.10;arachn.10;Euryto.1;Hymeno.8;Eupelm.3;Hymeno.7;Hymeno.6;Halict.16;Meloid.3;Strati.1;Milich.4;Grylli.1;Sarcop.3;sepsid.3;Fulgor.1;arachn.9;arachn.8;Cerato.5;Cerato.4;Ephydr.2;Milich.3;Lepido.3;Nevrop.1;Chloro.4;Bracon.7;Halict.15;Coccin.4;Aleyro.1;Bracon.6;Bethyl.4;Tetrac.3;Asilid.1;Sarcop.2;Formic.16;Hymeno.3;Pierid.1;Chalci.4;Sarcop.1;Halict.14;arachn.7;arachn.6;Formic.15;Sepsid.2;Bracon.5;Ulidii.1;Halict.13;arachn.5;Halict.12;Apidae.7;Tetrac.4;Carabi.2;Dipter.13;Dipter.14;Bradyn.1;Psyllo.1;arachn.4;Coleoptere;Ceraph.1;Formic.14;Ephydr.4;Apidae.6;Cerato.3;Chalci.3;Sepsid.1;Pterom.2;Euloph.4;pterom.10;Cecido.1;Milich.1;Formic.13;Milich.2;Tetrac.1;Bethyl.3;Cerato.1;Chryso.5;Chalci.2;Chryso.4;Euloph.3;Coccin.3;Eupelm.2;Dermes.2;Arachn.3;Chryso.3;Chrysi.2;formic.8;drosop.2;bupres.2;Flatid.1;Formic.12;Formic.11;Formic.10;Tachin.1;hetero.1;Mythic.3;mirida.4;phorid.4;phorid.3;perila.1;Megasp.1;phorid.2;Mythic.2;Cerato.2;tingid.1;dipter.4;Chloro.3;Hymeno.2;Pterom.1(platyg);Arachn.2;Coreth.1;arachn.1;carabi.1;coleop.1;Muscid.2;Bracon.4;Lepido.2;Scarab.4;Bethyl.2;Formic.9;Bethyl.1;Eupelm.1;Coccoi.1;Formic.7;psocop.1;Lepido.1;Phorid.1;Mythic.1;Mythic.4;Cicade.1;Bombyl.2;Formic.5;Formic.6;coccin.1;coccin.2;Chloro.1;Chloro.2;Formic.3;Bupres.1;Chryso.2;Curcul.1;Curcul.2;Dermes.1;Elater.1;Hymeno.1;Lycida.1;Muscid.1;Meloid.1;Meloid.2;Scarab.1;Scarab.2;Scarab.3;Staphy.1;Bombyl.1;Callip.1;Drosop.1;Tephri.2;Tephri.3;Dipter.1;Lygaei.1;Lygaei.2;Mirida.2;Mirida.1;Apidae.1;Apidae.2;Apidae.3;Apidae.4;Bracon.1;Chalci.1;Chrysi.1;Crabro.1;Crabro.2;Crabro.3;Crabro.4;Crabro.5;Euloph.2;Euloph.1;Formic.1;Formic.2;Formic.4;Halict.1;Halict.2;Halict.3;Halict.4;Halict.5;Halict.7;halict.8;Ichneu.1;Ichneu.2;Megach.1;Mutill.1;Pompil.1;Scolii.1;Scolii.2;Spheci.1;Spheci.2;Thynni.1;Thynni.2;Thyphi.1;Vespid.1;Vespid.2;Lycaen.1;Lycaen.2;Nympha.1;Chryso.1;Phlaeo.1;Phlaeo.2;Phlaeo.3;Phlaeo.4
Ranerou;JR87;Net;jour;J;RB87;87;JRB87;Bas-fond;Bas-fond;J_und_Ra;Depression;Balanites_aegyptiaca;87_44709;28/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ranerou;JR89;Net;jour;J;RB89;89;JRB89;Bas-fond;Bas-fond;J_und_Ra;Depression;Balanites_aegyptiaca;89_44709;28/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
Ranerou;JR36;Net;jour;J;RB36;36;JRB36;Parcelle_2016;2016;J_re_Ra;Restored;Balanites_aegyptiaca;36_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;
Ranerou;JR36_Pantrap_blanc;Pantrap;jour;J;RB36;36_Pantrap_blanc;JRB36;Parcelle_2016;2016;J_re_Ra;Restored;Balanites_aegyptiaca;36_Pantrap_blanc_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ranerou;JR36_Pantrap_bleu;Pantrap;jour;J;RB36;36_Pantrap_bleu;JRB36;Parcelle_2016;2016;J_re_Ra;Restored;Balanites_aegyptiaca;36_Pantrap_bleu_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
Ranerou;JR36_Pantrap_jaune;Pantrap;jour;J;RB36;36_Pantrap_jaune;JRB36;Parcelle_2016;2016;J_re_Ra;Restored;Balanites_aegyptiaca;36_Pantrap_jaune_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ranerou;JR45;Net;jour;J;RB45;45;JRB45;Parcelle_2016;2016;J_re_Ra;Restored;Balanites_aegyptiaca;45_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
Ranerou;JR50_Pantrap_blanc;Pantrap;jour;J;RB50;50_Pantrap_blanc;JRB50;Ext_Parcelle;Ext_Parcelle;J_un_Ra;Unrestored;Balanites_aegyptiaca;50_Pantrap_blanc_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Ranerou;JR50_Pantrap_bleu;Pantrap;jour;J;RB50;50_Pantrap_bleu;JRB50;Ext_Parcelle;Ext_Parcelle;J_un_Ra;Unrestored;Balanites_aegyptiaca;50_Pantrap_bleu_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
Ranerou;JR50_Pantrap_jaune;Pantrap;jour;J;RB50;50_Pantrap_jaune;JRB50;Ext_Parcelle;Ext_Parcelle;J_un_Ra;Unrestored;Balanites_aegyptiaca;50_Pantrap_jaune_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
Ranerou;JR52;Net;jour;J;RB52;52;JRB52;Ext_Parcelle;Ext_Parcelle;J_un_Ra;Unrestored;Balanites_aegyptiaca;52_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;6;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ranerou;JR54_Pantrap_blanc;Pantrap;jour;J;RB54;54_Pantrap_blanc;JRB54;Ext_Parcelle;Ext_Parcelle;J_un_Ra;Unrestored;Balanites_aegyptiaca;54_Pantrap_blanc_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
Ranerou;JR54_Pantrap_bleu;Pantrap;jour;J;RB54;54_Pantrap_bleu;JRB54;Ext_Parcelle;Ext_Parcelle;J_un_Ra;Unrestored;Balanites_aegyptiaca;54_Pantrap_bleu_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ranerou;JR54_Pantrap_jaune;Pantrap;jour;J;RB54;54_Pantrap_jaune;JRB54;Ext_Parcelle;Ext_Parcelle;J_un_Ra;Unrestored;Balanites_aegyptiaca;54_Pantrap_jaune_44710;29/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
